SampleID,PubID,RefID,Populations,Reference,Nationality,Time
764143897-stool1,764143897-stool1,764143897,A,Ref 3,American,stool1
764143897-stool2,764143897-stool2,764143897,A,Ref 3,American,stool2
764184357-stool1,764184357-stool1,764184357,A,Ref 3,American,stool1
764224817-stool1,764224817-stool1,764224817,A,Ref 3,American,stool1
764224817-stool2,764224817-stool2,764224817,A,Ref 3,American,stool2
764285508-stool1,764285508-stool1,764285508,A,Ref 3,American,stool1
764325968-stool1,764325968-stool1,764325968,A,Ref 3,American,stool1
764325968-stool2,764325968-stool2,764325968,A,Ref 3,American,stool2
764447348-stool1,764447348-stool1,764447348,A,Ref 3,American,stool1
764447348-stool2,764447348-stool2,764447348,A,Ref 3,American,stool2
764487809-stool1,764487809-stool1,764487809,A,Ref 3,American,stool1
764487809-stool2,764487809-stool2,764487809,A,Ref 3,American,stool2
764508039-stool1,764508039-stool1,764508039,A,Ref 3,American,stool1
764588959-stool1,764588959-stool1,764588959,A,Ref 3,American,stool1
764649650-stool1,764649650-stool1,764649650,A,Ref 3,American,stool1
764669880-stool1,764669880-stool1,764669880,A,Ref 3,American,stool1
764669880-stool2,764669880-stool2,764669880,A,Ref 3,American,stool2
764811490-stool1,764811490-stool1,764811490,A,Ref 3,American,stool1
764892411-stool1,764892411-stool1,764892411,A,Ref 3,American,stool1
765013792-stool1,765013792-stool1,765013792,A,Ref 3,American,stool1
765034022-stool1,765034022-stool1,765034022,A,Ref 3,American,stool1
765074482-stool1,765074482-stool1,765074482,A,Ref 3,American,stool1
765074482-stool2,765074482-stool2,765074482,A,Ref 3,American,stool2
765094712-stool1,765094712-stool1,765094712,A,Ref 3,American,stool1
765094712-stool2,765094712-stool2,765094712,A,Ref 3,American,stool2
765135172-stool1,765135172-stool1,765135172,A,Ref 3,American,stool1
765560005-stool1,765560005-stool1,765560005,A,Ref 3,American,stool1
765620695-stool1,765620695-stool1,765620695,A,Ref 3,American,stool1
765640925-stool1,765640925-stool1,765640925,A,Ref 3,American,stool1
765701615-stool1,765701615-stool1,765701615,A,Ref 3,American,stool1
809635352-stool1,809635352-stool1,809635352,A,Ref 3,American,stool1
823052294-stool1,823052294-stool1,823052294,A,Ref 3,American,stool1
861967750-stool1,861967750-stool1,861967750,A,Ref 3,American,stool1
